元からあるタスク,重さ
ミニチャレンジ:巨大クジラの化石,29
ミニチャレンジ:消えたコッコちゃん,9
ミニチャレンジ:奪われた漁場,7
ミニチャレンジ:八人目の英雄,25
ミニチャレンジ:忘れられた剣,30
ミニチャレンジ:幼き武器マニア,60
ミニチャレンジ10個,35
ミニチャレンジ15個,56
ミニチャレンジ20個,74
ミファーの祈り,27
メインチャレンジ：ウツシエの記憶,60
メインチャレンジ：勇者の剣,80
メインチャレンジ4個達成,14
メインチャレンジ5個達成,18
メインチャレンジ6個達成,24.5
メインチャレンジ7個達成,30
メインチャレンジ8個達成,46
メインチャレンジ9個達成,60
ゆでたまご5個,7
ライネル、ヒノックス、モルドラの素材計5種,9
ライネル、ヒノックス、モルドラの素材計6種,13
ライネル、ヒノックス、モルドラの素材計7種,16
ライネル全討伐(23匹),40
ラジークキラーの証,43
リーバルの猛り,18
リザルフォスの素材5種,8
リザルフォスの素材6種,11
リモコンバクダン+,18
英傑能力2つ,50
英傑能力3つ,75
炎無効,39
加速泳ぎがんばり長持ち,51
家を買う,16
記憶ムービー3個,8
記憶ムービー5個,12
記憶ムービー7個,19
騎士のくら,9
古代の巨大なコア3個,9.5
古代の巨大なコア4個,13.5
古代の巨大なコア5個,17
古代の巨大なコア6個,22
古代兵装弓,27
古代兵装盾,28
古代兵装武器,25
古代兵装防具,32
古代兵装矢10本,5
古代兵装矢15本,7
古代兵装矢20本,11
古代兵装矢25本,24
盾サーフィンミニゲームで風凪の盾,16
小型ガーディアン（極位）1体討伐,8
小型ガーディアン（極位）2体討伐,13
小型ガーディアン（極位）3体討伐,16
小型ガーディアン（中位）2体討伐,11
小型ガーディアン（中位）3体討伐,14
森人武器盾弓,3
雪よけの羽飾り★,14
全ての塔を起動,40
速度5の馬を登録する,9
耐火の石兜★,20
大事なもの11枠,22
大事なもの12枠,35
大事なもの13枠,55
大事なもの7枠,16
大妖精 2人解放,9
大妖精 3人解放,15
電気の矢50本,12
凍結無効,35
熱砂の鉢がね★,15
馬を蘇生する,9.5
蛮族装備一式,10
秘湯３カ所に浸かる,13
秘湯でゆでたまごを作る,4
武器10種,12
武器11種,14
武器12種,18.5
武器13種,26
武器14種,37
武器15種,54.5
武器16種,76
武器8種,3
武器9種,9.5
防具11種,18
防具14種,29
防具5種,5.5
防具7種,8
木の枝6本,2
夜光シリーズ一式を着て自撮り,25
夜光防具一式,17
薬8種,12
雷無効,38
竜の素材5種,10
竜の素材6種,18
祠 10基攻略,16
祠 15基攻略,29
祠 20基攻略,41
祠 25基攻略,52
祠 28基攻略,60
祠 30基攻略,65
