元からあるタスク,英語名,重さ,types
ほこらチャレンジ:石碑のかけら探し,Fragmented Monument' Shrine Quest,14.0,"[""Shrine Quests"", ""Shrine"", ""Camera"", ""Faron"", ""Hateno"", ""Dueling Peaks"", """"]"
ほしのかけら3個,3 Star Fragments,7.0,"[""Star Fragments"", ""Central Hyrule"", ""Faron""]"
ほしのかけら4個,4 Star Fragments,10.0,"[""Star Fragments"", ""Central Hyrule"", ""Faron""]"
ほしのかけら5個,5 Star Fragments,13.0,"[""Star Fragments"", ""Central Hyrule""]"
ゆでたまご5個,5 Hard-Boiled Egg,7.0,"[""Egg"", ""Hot Spring"", ""Cooking""]"
イワロック5体討伐 (どの種でも可),Kill 5 Talus of any kind,12.0,"[""Kill"", ""Boss Monster"", ""Talus""]"
イワロック、マグロック、ガチロック1体ずつ討伐,Kill Stone&Igneo&Frost Talus,18.0,"[""Kill"", ""Boss Monster"", ""Eldin"", ""Hebra"", ""Talus""]"
ウルボザの怒り,Urbosa's Fury,35.0,"[""Divine Beast"", ""MainQuest"", ""Gerudo"", ""Wasteland"", ""Champion's Abilities""]"
ウワサのミツバちゃん3巻読破,Read 3 Rumor Mill,6.0,"[""Rumor Mill""]"
ウワサのミツバちゃん5巻読破,Read 5Rumor Mill,10.0,"[""Rumor Mill""]"
ウワサのミツバちゃん7巻読破,Read 7Rumor Mill,14.0,"[""Rumor Mill""]"
エノキダ結婚,Marriage,47.0,"[""Side Quest"", ""Rupee"", ""Hateno"", ""Akkala""]"
カッシーワのチャレンジ4種,4 Kass Quests,19.0,"[""Kass"", ""Shrine Quests"", ""Shrine"", ""Shrines"", ""Side Quest""]"
カッシーワのチャレンジ5種,5 Kass Quests,23.0,"[""Kass"", ""Shrine Quests"", ""Shrine"", ""Shrines"", ""Side Quest""]"
カッシーワのチャレンジ6種,6 Kass Quests,29.0,"[""Kass"", ""Shrine Quests"", ""Shrine"", ""Shrines"", ""Side Quest""]"
カッシーワのチャレンジ7種,7 Kass Quests,37.0,"[""Kass"", ""Shrine Quests"", ""Shrine"", ""Shrines"", ""Side Quest""]"
ガノン討伐,Beat Ganon,25.0,"[""Divine Beast"", ""MainQuest"", ""Central Hyrule""]"
ガーディアンを倒して力の試練の祠10基攻略,10 A Test of Strength while Killing Guardian Scout,49.0,"[""Guardian"", ""Shrine"", ""Akkala"", ""Shrines""]"
ガーディアンを倒して力の試練の祠3基攻略,3 A Test of Strength while Killing Guardian Scout,20.0,"[""Guardian"", ""Shrine"", ""Shrines""]"
ガーディアンを倒して力の試練の祠5基攻略,5 A Test of Strength while Killing Guardian Scout,27.0,"[""Guardian"", ""Shrine"", ""Shrines""]"
ガーディアンを倒して力の試練の祠8基攻略,8 A Test of Strength while Killing Guardian Scout,40.0,"[""Guardian"", ""Shrine"", ""Akkala"", ""Shrines""]"
ギャンブルで連続大当たり,Consecutive gambling jackpots,9.0,"[""Rupee"", ""Minigame"", ""Faron""]"
ゴージャス馬装備一式,Full Horse's Extravagant Set,9.0,"[""Horse Equipment"", ""Horse"", ""Minigame"", ""Lake""]"
シーカーセンサー+,Sheikah Sensor +,13.0,"[""Camera"", ""Hateno"", ""Dueling Peaks""]"
シーカータワー 4基起動,Activate 4 Towers,11.0,"[""Tower""]"
シーカータワー 5基起動,Activate 5 Towers,13.5,"[""Tower""]"
シーカータワー 6基起動,Read 5Rumor Mill,16.0,"[""Tower""]"
シーカータワー 7基起動,Activate 5 Towers,19.0,"[""Tower""]"
ズーム弓2種類,2 Bows with zoom effect,7.0,"[""Bow""]"
ゾーラの兜★,Zora Helm ★,11.0,"[""Great Fairy"", ""Clothes"", ""Lanayru""]"
ゾーラ装備一式,Full Zora Set,35.0,"[""Camera"", ""Lanayru"", ""Hateno"", ""Side Quest""]"
ダルケルの護り,Daruk's Protection,30.0,"[""Divine Beast"", ""MainQuest"", ""Eldin"", ""Champion's Abilities""]"
チュチュゼリー全種,All Chuchu Jelly,5.0,"[""Arrow"", ""Plateau""]"
ネルドラ解放,Release Naydra,10.0,"[""Shrine Quests"", ""Naydra"", ""Hateno""]"
ハイラルなぞなぞしれんでビリビリマスを見せる,Show Voltfin Trout in 'Riddles of Hyrule' Side Quest,13.0,"[""Riddles of Hyrule"", ""Woodland"", ""Side Quest""]"
ハイラルなぞなぞしれんでヨロイカボチャを見せる,Show Fortified Pumpkin in 'Riddles of Hyrule' Side Quest,6.0,"[""Riddles of Hyrule"", ""Woodland"", ""Side Quest""]"
ハイラル図鑑 武器 20種登録（購入不可）,20 Equipment in Compendium(without purchase),18.0,"[""Camera"", ""Compendium"", ""Compedium-Weapon"", ""Weapon""]"
ハイラル図鑑 武器 30種登録（購入不可）,30 Equipment in Compendium(without purchase),28.0,"[""Camera"", ""Compendium"", ""Compedium-Weapon"", ""Weapon""]"
ハイラル図鑑 武器 40種登録（購入不可）,40 Equipment in Compendium(without purchase),38.0,"[""Camera"", ""Compendium"", ""Compedium-Weapon"", ""Weapon""]"
ハイラル図鑑 生き物 20種登録（購入不可）,20 Creatures in Compendium(without purchase),22.0,"[""Camera"", ""Compendium"", ""Compedium-Creature""]"
ハイラル図鑑 生き物 30種登録（購入不可）,30 Creatures in Compendium(without purchase),34.0,"[""Camera"", ""Compendium"", ""Compedium-Creature""]"
ハイラル図鑑 生き物 40種登録（購入不可）,40 Creatures in Compendium(without purchase),50.0,"[""Camera"", ""Compendium"", ""Compedium-Creature""]"
ハイラル図鑑 魔物 20種登録（購入不可）,20 Monsters in Compendium(without purchase),25.0,"[""Camera"", ""Compendium"", ""Compedium-Monster""]"
ハイラル図鑑 魔物 30種登録（購入不可）,30 Monsters in Compendium(without purchase),36.0,"[""Camera"", ""Compendium"", ""Compedium-Monster""]"
ハイラル図鑑 魔物 40種登録（購入不可）,40 Monsters in Compendium(without purchase),53.0,"[""Camera"", ""Compendium"", ""Compedium-Monster""]"
ハイリアのフード★★★★,Hylian Hood★★★★,60.0,"[""Hateno"", ""Rupee"", ""Great Fairy"", ""Clothes"", ""Boko Parts""]"
ハートミルクスープ,Creamy Heart Soup,8.0,"[""Cooking"", ""Hateno""]"
ヒノックス10体討伐 (どの種でも可),Kill 10 Hinox of any kind,28.0,"[""Kill"", ""Boss Monster"", ""Hinox""]"
ヒノックス15体討伐 (どの種でも可),Kill 15 Hinox of any kind,42.0,"[""Kill"", ""Boss Monster"", ""Hinox""]"
ヒノックス20体討伐 (どの種でも可),Kill 20 Hinox of any kind,56.0,"[""Kill"", ""Boss Monster"", ""Hinox""]"
ヒノックス5体討伐 (どの種でも可),Kill 5 Hinox of any kind,14.0,"[""Kill"", ""Boss Monster"", ""Hinox""]"
ビタロック+,Stasis +,20.0,"[""Camera"", ""Hateno"", ""Dueling Peaks""]"
マモノ馬装備一式,Monster Saddle and Bridle,58.0,"[""Horse Equipment"", ""Divine Beast"", ""MainQuest"", ""Champion's Abilities""]"
ミニゲーム10種クリア,10 Minigames,65.0,"[""Minigame"", ""Lake"", ""Horse Equipment""]"
ミニゲーム11種クリア,11 Minigames,77.0,"[""Minigame"", ""Lake"", ""Horse Equipment""]"
ミニゲーム3種クリア,3 Minigames,13.0,"[""Minigame"", ""Lake""]"
ミニゲーム5種クリア,5 Minigames,22.0,"[""Minigame"", ""Lake""]"
ミニゲーム7種クリア,7 Minigames,32.0,"[""Minigame"", ""Lake"", ""Horse Equipment""]"
ミニゲーム8種クリア,8 Minigames,36.0,"[""Minigame"", ""Lake"", ""Horse Equipment""]"
ミニゲーム9種クリア,9 Minigames,50.0,"[""Minigame"", ""Lake"", ""Horse Equipment""]"
ミニゲーム:雪玉ボウルでストライク,Strike in bowling mini-game,5.0,"[""Minigame"", ""Hebra""]"
ミニゲーム:飛行訓練 的を20個射抜く,20 Targets in Flight Range Minigame,22.0,"[""Divine Beast"", ""Tabantha"", ""Hebra"", ""Champion's Abilities""]"
ミニゲーム:鳥人間チャレンジ 7000m以上滑空,7000m in the Gliding Minigame,4.0,"[""Minigame"", ""Ridgeland""]"
ミニチャレンジ10個,10 Side Quests,35.0,"[""Side Quest"", ""Dueling Peaks""]"
ミニチャレンジ15個,15 Side Quests,56.0,"[""Side Quest"", ""Dueling Peaks""]"
ミニチャレンジ20個,20 Side Quests,74.0,"[""Side Quest"", ""Dueling Peaks"", ""Camera"", ""Akkala""]"
ミニチャレンジ: ゲルドの至宝 雷鳴の兜！,The Thunder Helm' Side Quest,60.0,"[""Side Quest"", ""Divine Beast"", ""MainQuest"", ""Gerudo"", ""Wasteland"", ""Champion's Abilities"", """"]"
ミニチャレンジ:ぴかぴかのルミーしれん,Legendary Rabbit Trial' Side Quest,16.0,"[""Camera"", ""Woodland"", ""Hateno"", ""Dueling Peaks"", ""Side Quest""]"
ミニチャレンジ:もう一人の研究者,Robbie's Research' Side Quest,12.0,"[""Camera"", ""Akkala"", ""Hateno"", ""Dueling Peaks"", ""Side Quest""]"
ミニチャレンジ:コログしれん,Korok Trials' Side Quest,21.0,"[""Shrine"", ""Minigame"", ""Shrine Quests"", ""Woodland"", ""Shrines"", ""Side Quest"", """"]"
ミニチャレンジ:ハイラルなぞなぞしれん,Riddles of Hyrule' Side Quest,28.0,"[""Riddles of Hyrule"", ""Boss Monster"", ""Woodland"", ""Side Quest""]"
ミニチャレンジ:ホタル ノ ヒカリ,By Firefly's Light' Side Quest,20.0,"[""Great Fairy"", ""Camera"", ""Hateno"", ""Dueling Peaks"", ""Side Quest""]"
ミニチャレンジ:八人目の英雄,The Eighth Heroine' Side Quest,25.0,"[""Camera"", ""Gerudo"", ""Hateno"", ""Dueling Peaks""]"
ミニチャレンジ:奪われた漁場,Take Back the Sea' Side Quest,7.0,"[""Faron"", ""Side Quest""]"
ミニチャレンジ:巨大クジラの化石,Leviathan Bones' Side Quest,29.0,"[""Camera"", ""Eldin"", ""Wasteland"", ""Hebra"", ""Hateno"", ""Side Quest"", """"]"
ミニチャレンジ:幼き武器マニア,The Weapon Connoisseur' Side Quest,60.0,"[""Hateno"", ""Rupee"", ""Weapon"", ""Castle"", ""Akkala""]"
ミニチャレンジ:忘れられた剣,The Forgotten Sword' Side Quest,30.0,"[""Rupee"", ""Wasteland"", ""Gerudo"", ""Camera"", ""Side Quest""]"
ミニチャレンジ:消えたコッコちゃん,Flown the Coop' Side Quest,9.0,"[""Dueling Peaks"", ""Side Quest""]"
ミニチャレンジ:解放 さらなる力,Slated for Upgrades' Side Quest,28.0,"[""Camera"", ""Hateno"", ""Dueling Peaks"", ""Side Quest""]"
ミファーの祈り,Mipha's Grace,27.0,"[""Divine Beast"", ""MainQuest"", ""Lanayru"", ""Champion's Abilities""]"
メインチャレンジ4個達成,4 MainQuests,14.0,"[""MainQuest"", ""Camera"", ""Hateno"", ""Dueling Peaks""]"
メインチャレンジ5個達成,5 MainQuests,18.0,"[""MainQuest"", ""Camera"", ""Hateno"", ""Dueling Peaks""]"
メインチャレンジ6個達成,6 MainQuests,24.5,"[""MainQuest"", ""Camera"", ""Hateno"", ""Dueling Peaks""]"
メインチャレンジ7個達成,7 MainQuests,30.0,"[""MainQuest"", ""Divine Beast"", ""Camera"", ""Hateno"", ""Dueling Peaks"", ""Champion's Abilities"", """"]"
メインチャレンジ8個達成,8 MainQuests,46.0,"[""MainQuest"", ""Divine Beast"", ""Camera"", ""Hateno"", ""Champion's Abilities""]"
メインチャレンジ9個達成,9 MainQuests,60.0,"[""MainQuest"", ""Divine Beast"", ""Camera"", ""Hateno"", ""Champion's Abilities""]"
メインチャレンジ：ウツシエの記憶,Captured Memories' Main Quest,60.0,"[""Camera"", ""Hateno"", ""Dueling Peaks""]"
メインチャレンジ：勇者の剣,The Hero's Sword' Main Quest,80.0,"[""Shrine"", ""MainQuest"", ""Woodland"", ""Shrines"", ""Spirit Orb""]"
ライネル、ヒノックス、モルドラの素材計5種,5 Different Monster Parts From Lynel&Hinox&Molduga,9.0,"[""Boss Monster"", ""Castle"", ""Hinox"", ""Molduga"", ""Lynel""]"
ライネル、ヒノックス、モルドラの素材計6種,6 Different Monster Parts From Lynel&Hinox&Molduga,13.0,"[""Boss Monster"", ""Castle"", ""Hinox"", ""Molduga"", ""Lynel""]"
ライネル、ヒノックス、モルドラの素材計7種,7 Different Monster Parts From Lynel&Hinox&Molduga,16.0,"[""Boss Monster"", ""Castle"", ""Hinox"", ""Molduga"", ""Lynel""]"
ライネル全討伐(23匹),Kill All Lynels,40.0,"[""Castle"", ""Kill"", ""Boss Monster"", ""Lynel""]"
ラジークキラーの証,Medal of Honor: Molduga,43.0,"[""Kill"", ""Boss Monster"", ""Wasteland"", ""Akkala"", ""Molduga""]"
リザルフォスの素材5種,5 Different Lizalfos Parts,8.0,"[""Lizalfos Parts"", ""Wasteland"", ""Castle""]"
リザルフォスの素材6種,6 Different Lizalfos Parts,11.0,"[""Lizalfos Parts"", ""Wasteland"", ""Castle""]"
リモコンバクダン+,Remote Bomb +,18.0,"[""Camera"", ""Hateno"", ""Dueling Peaks""]"
リーバルの猛り,Revali's Gale,18.0,"[""Divine Beast"", ""MainQuest"", ""Tabantha"", ""Hebra"", ""Champion's Abilities""]"
全ての塔を起動,Activate All Towers,40.0,"[""Tower""]"
凍結無効,Unfreezable (without potion),35.0,"[""Hebra"", ""Tabantha"", ""Rupee"", ""Great Fairy"", ""Clothes""]"
加速泳ぎがんばり長持ち,Swim Dash Stamina Up,51.0,"[""Camera"", ""Lanayru"", ""Rupee"", ""Great Fairy"", ""Clothes""]"
古代の巨大なコア3個,3 Giant Ancient Core,9.5,"[""Giant Ancient Core"", ""Shrine"", ""Akkala""]"
古代の巨大なコア4個,4 Giant Ancient Core,13.5,"[""Giant Ancient Core"", ""Shrine"", ""Akkala""]"
古代の巨大なコア5個,5 Giant Ancient Core,17.0,"[""Giant Ancient Core"", ""Shrine"", ""Akkala""]"
古代の巨大なコア6個,6 Giant Ancient Core,22.0,"[""Giant Ancient Core"", ""Shrine"", ""Akkala""]"
古代兵装弓,Ancient Bow,27.0,"[""Rupee"", ""Bow"", ""Castle"", ""Akkala""]"
古代兵装武器,Ancient Weapon,25.0,"[""Rupee"", ""Weapon"", ""Castle"", ""Akkala""]"
古代兵装盾,Ancient Shield,28.0,"[""Rupee"", ""Shield"", ""Castle"", ""Akkala""]"
古代兵装矢10本,10 Ancient Arrows,5.0,"[""Arrow"", ""Castle""]"
古代兵装矢15本,15 Ancient Arrows,7.0,"[""Arrow"", ""Castle""]"
古代兵装矢20本,20 Ancient Arrows,11.0,"[""Arrow"", ""Castle""]"
古代兵装矢25本,25 Ancient Arrows,24.0,"[""Arrow"", ""Camera"", ""Castle"", ""Akkala"", ""Hateno"", ""Dueling Peaks"", """"]"
古代兵装防具,Ancient Armor,32.0,"[""Rupee"", ""Clothes"", ""Castle"", ""Akkala""]"
夜光シリーズ一式を着て自撮り,Selfie wearing a set of Radiant series,25.0,"[""Rupee"", ""Camera"", ""Wasteland""]"
夜光防具一式,Full Radiant Set,17.0,"[""Clothes"", ""Rupee"", ""Wasteland""]"
大事なもの11枠,11 Different Key Items,22.0,"[""Minigame"", ""Key Items"", ""Horse Equipment""]"
大事なもの12枠,12 Different Key Items,35.0,"[""Minigame"", ""Key Items"", ""Horse Equipment""]"
大事なもの13枠,13 Different Key Items,55.0,"[""Minigame"", ""Key Items"", ""MainQuest"", ""Horse Equipment""]"
大事なもの7枠,7 Different Key Items,16.0,"[""Minigame"", ""Key Items"", ""Horse Equipment""]"
大妖精 2人解放,Pay 2 Great Fairies,9.0,"[""Great Fairy"", ""Rupee"", ""Dueling Peaks""]"
大妖精 3人解放,Pay 3 Great Fairies,15.0,"[""Great Fairy"", ""Rupee"", ""Dueling Peaks""]"
家を買う,Buy a House,16.0,"[""Rupee"", ""Hateno""]"
小型ガーディアン（中位）2体討伐,Kill 2 Guardian Scout III,11.0,"[""Guardian"", ""Kill""]"
小型ガーディアン（中位）3体討伐,Kill 3 Guardian Scout III,14.0,"[""Guardian"", ""Kill""]"
小型ガーディアン（極位）1体討伐,Kill Guardian Scout IV,8.0,"[""Guardian"", ""Kill"", ""Central Hyrule""]"
小型ガーディアン（極位）2体討伐,Kill 2 Guardian Scout IV,13.0,"[""Guardian"", ""Kill"", ""Hebra""]"
小型ガーディアン（極位）3体討伐,Kill 3 Guardian Scout IV,16.0,"[""Guardian"", ""Kill"", ""Hebra""]"
木の枝6本,6 Tree Branches,2.0,"[""Weapon"", ""Plateau""]"
森人武器盾弓,Forest Dweller’s Weapon&Shield&Bow,3.0,"[""Weapon"", ""Woodland""]"
武器10種,10 Different Weapon,12.0,"[""Weapon"", ""Koroks"", ""Castle"", ""Dueling Peaks""]"
武器11種,11 Different Weapon,14.0,"[""Weapon"", ""Koroks"", ""Castle"", ""Central Hyrule"", ""Dueling Peaks""]"
武器12種,12 Different Weapon,18.5,"[""Weapon"", ""Koroks"", ""Castle"", ""Central Hyrule"", ""Dueling Peaks""]"
武器13種,13 Different Weapon,26.0,"[""Weapon"", ""Koroks"", ""Castle"", ""Central Hyrule"", ""Dueling Peaks""]"
武器14種,14 Different Weapon,37.0,"[""Weapon"", ""Koroks"", ""Castle"", ""Central Hyrule"", ""Dueling Peaks""]"
武器15種,15 Different Weapon,54.5,"[""Weapon"", ""Koroks"", ""Castle"", ""Central Hyrule"", ""Dueling Peaks"", ""Woodland"", """"]"
武器16種,16 Different Weapon,76.0,"[""Weapon"", ""Koroks"", ""Castle"", ""Central Hyrule"", ""Dueling Peaks"", ""Woodland"", """"]"
武器8種,8 Different Weapon,3.0,"[""Weapon"", ""Castle""]"
武器9種,9 Different Weapon,9.5,"[""Weapon"", ""Koroks"", ""Castle"", ""Dueling Peaks""]"
炎無効,Fireproof (without potion),39.0,"[""Eldin"", ""Rupee"", ""Great Fairy"", ""Clothes""]"
熱砂の鉢がね★,Desert Voe Headband ★,15.0,"[""Great Fairy"", ""Clothes"", ""Rupee"", ""Wasteland""]"
盾サーフィンミニゲームで風凪の盾,Get Kite Shield in the Shield Surf Minigame,16.0,"[""Shield"", ""Minigame"", ""Hebra""]"
祠 10基攻略,10 Shrines,16.0,"[""Shrine"", ""Central Hyrule"", ""Shrines"", ""Spirit Orb""]"
祠 15基攻略,15 Shrines,29.0,"[""Shrine"", ""Central Hyrule"", ""Shrines"", ""Spirit Orb""]"
祠 20基攻略,20 Shrines,41.0,"[""Shrine"", ""Central Hyrule"", ""Shrines"", ""Spirit Orb""]"
祠 25基攻略,25 Shrines,52.0,"[""Shrine"", ""Central Hyrule"", ""Shrines"", ""Spirit Orb""]"
祠 28基攻略,28 Shrines,60.0,"[""Shrine"", ""Central Hyrule"", ""Shrines"", ""Spirit Orb""]"
祠 30基攻略,30 Shrines,65.0,"[""Shrine"", ""Central Hyrule"", ""Shrines"", ""Spirit Orb""]"
秘湯でゆでたまごを作る,Boiled eggs in a secret hot spring,4.0,"[""Egg"", ""Secret Hot Spring"", ""Hot Spring""]"
秘湯３カ所に浸かる,Soak in 3 secret hot springs,13.0,"[""Secret Hot Spring"", ""Hot Spring"", ""Hebra""]"
竜の素材5種,5 Different Dragon's Parts,10.0,"[""Dragon's Parts"", ""Naydra"", ""Farosh"", ""Dinraal"", ""Castle""]"
竜の素材6種,6 Different Dragon's Parts,18.0,"[""Dragon's Parts"", ""Naydra"", ""Farosh"", ""Dinraal"", ""Castle"", ""Faron"", """"]"
耐火の石兜★,Flamebreaker Helm ★,20.0,"[""Great Fairy"", ""Clothes"", ""Rupee"", ""Eldin"", ""Ridgeland""]"
英傑能力2つ,2 Champion's Abilities,50.0,"[""Divine Beast"", ""MainQuest"", ""Champion's Abilities""]"
英傑能力3つ,3 Champion's Abilities,75.0,"[""Divine Beast"", ""MainQuest"", ""Champion's Abilities""]"
薬8種,8 types of potion,12.0,"[""Cooking""]"
蛮族装備一式,Full Barbarian Set,10.0,"[""Clothes"", ""Shrine"", ""Akkala"", ""Hebra""]"
記憶ムービー3個,Collect 3 Memories,8.0,"[""Memories"", ""Camera"", ""Central Hyrule"", ""Hateno"", ""Dueling Peaks""]"
記憶ムービー5個,Collect 5 Memories,12.0,"[""Memories"", ""Camera"", ""Hateno"", ""Dueling Peaks""]"
記憶ムービー7個,Collect 7 Memories,19.0,"[""Memories"", ""Camera"", ""Hateno"", ""Dueling Peaks""]"
速度5の馬を登録する,Register a Horse with 5 Speed,9.0,"[""Horse"", ""Lake""]"
防具11種,11 Armors,18.0,"[""Clothes"", ""Rupee""]"
防具14種,14 Armors,29.0,"[""Clothes"", ""Rupee""]"
防具5種,5 Armors,5.5,"[""Clothes"", ""Rupee""]"
防具7種,7 Armors,8.0,"[""Clothes"", ""Rupee""]"
雪よけの羽飾り★,Snowquill Headdress ★,14.0,"[""Great Fairy"", ""Clothes"", ""Rupee"", ""Tabantha"", ""Hebra"", ""Ridgeland"", """"]"
雷無効,Unshockable (without potion),38.0,"[""Rupee"", ""Great Fairy"", ""Clothes"", ""Ridgeland"", ""Faron""]"
電気の矢50本,50 Shock Arrows,12.0,"[""Arrow"", ""Rupee""]"
馬を蘇生する,Revive a horse,9.5,"[""Rupee"", ""Horse"", ""Lake""]"
騎士のくら,Knight's Saddle,9.0,"[""Horse Equipment"", ""Minigame"", ""Lake""]"
